"Name","IpAddress"
"d480ac928ffa4236ae521de8a7425545-publicIP","20.239.95.133"
"e16918908e9545259b0cf913b188d27f-publicIP","20.24.217.43"
"e8d643bdaf9a4298978e827106727658-publicIP","20.239.89.37"
"e919eb39de8b4aac8a22be1e791cbc81-publicIP","20.239.190.162"
"eed95101b88c4b02a91e766770f251e1-publicIP","20.205.59.171"
"f9ede2060a8247b99d9642f8aead07e8-publicIP","20.239.183.140"
"ff5aed7fa2f94ab3ba4efc6bb8eab90d-publicIP","20.247.119.166"
"pip-hk01-eas-u-outbound-infrasvc01-outbound01","40.81.27.205"
"ergw-hk01-sea-p-transit01-pip01","20.212.166.240"
"pip-hk01-sea-r-outbound-infrasvc01-outbound01","40.119.207.153"
